SDR	7.7.6
03/08/2008 15:50:00	3.2	0.3	3.8	2.6	3.6	0.2	4.1	3.0	3.1	0.3	3.8	2.3	3.4	0.3	4.2	2.6									150	8	149	260	145	7	134	350					-4.4	0.0	-4.2	-4.5								
03/08/2008 16:00:00	3.1	0.3	4.2	2.3	3.4	0.3	4.1	2.7	3.0	0.3	3.8	1.9	3.2	0.3	3.8	2.3									159	6	157	260	154	5	151	350					-4.4	0.0	-4.2	-4.5								
03/08/2008 16:10:00	2.7	0.4	3.8	1.9	3.2	0.3	4.1	2.4	2.7	0.3	3.4	1.9	2.9	0.4	4.2	1.9									162	8	160	260	156	8	159	350					-4.2	0.0	-4.0	-4.2								
03/08/2008 16:20:00	2.2	0.4	3.4	1.1	2.5	0.3	3.6	1.9	2.1	0.4	3.4	1.1	2.2	0.4	3.4	1.1									151	8	147	260	144	9	143	350					-4.1	0.1	-3.8	-4.2								
03/08/2008 16:30:00	1.2	0.6	2.6	0.4	1.8	0.5	2.7	1.0	1.2	0.6	2.6	0.4	1.3	0.7	3.0	0.4									148	12	164	260	131	9	144	350					-3.7	0.3	-3.1	-4.2								
03/08/2008 16:40:00	0.4	0.2	1.1	0.4	1.0	0.0	1.0	1.0	0.4	0.1	1.1	0.4	0.4	0.1	1.1	0.4									182	16	166	260	126	0	350	350					-1.9	0.9	-0.6	-3.1								
03/08/2008 16:50:00	1.9	0.9	3.0	0.4	1.0	0.1	1.6	1.0	1.5	0.8	2.6	0.4	1.3	0.6	2.3	0.4									206	10	211	260	174	33	150	350					-1.2	0.4	-0.6	-1.8								
03/08/2008 17:00:00	2.1	0.5	3.0	0.7	1.7	0.5	2.7	1.0	1.9	0.5	3.0	0.7	1.6	0.4	2.6	0.4									234	20	213	260	226	17	224	350					-2.6	0.4	-1.8	-3.4								
03/08/2008 17:10:00	1.7	0.4	2.3	0.7	1.5	0.5	2.1	1.0	1.6	0.4	2.3	0.7	1.3	0.4	1.9	0.4									266	6	261	260	256	1	255	350					-3.1	0.0	-2.9	-3.4								
03/08/2008 17:20:00	1.4	0.4	2.3	0.4	1.5	0.3	2.1	1.0	1.3	0.4	1.9	0.4	1.3	0.3	1.9	0.4									282	8	272	260	257	0	258	350					-3.0	0.0	-2.7	-3.1								
03/08/2008 17:30:00	1.6	0.3	2.6	1.1	1.8	0.4	2.4	1.0	1.7	0.3	2.3	0.7	1.7	0.3	2.3	0.7									316	13	303	260	298	26	326	350					-3.0	0.0	-2.9	-3.1								
03/08/2008 17:40:00	1.4	0.4	2.6	0.4	1.5	0.3	2.7	1.0	1.3	0.4	2.6	0.4	1.5	0.3	2.3	0.7									305	24	293	260	321	0	324	350					-2.1	0.4	-1.5	-2.9								
